"Data","Abertura","Alto","Baixo","Fechamento*","Fechamento ajustado**","Volume"
"01 de fev. de 2002","1.130,20","1.130,20","1.074,36","1.106,73","1.106,73","26.047.600.000"
"01 de jan. de 2002","1.148,08","1.176,97","1.081,66","1.130,20","1.130,20","29.746.200.000"
"01 de dez. de 2001","1.139,45","1.173,62","1.114,53","1.148,08","1.148,08","25.128.570.000"
"01 de nov. de 2001","1.059,78","1.163,38","1.054,31","1.139,45","1.139,45","26.330.000.000"
"01 de out. de 2001","1.040,94","1.110,61","1.026,76","1.059,78","1.059,78","29.951.280.000"
"01 de set. de 2001","1.133,58","1.155,40","944,75","1.040,94","1.040,94","25.025.290.000"
"01 de ago. de 2001","1.211,23","1.226,27","1.124,87","1.133,58","1.133,58","23.359.200.000"
"01 de jul. de 2001","1.224,42","1.239,78","1.165,54","1.211,23","1.211,23","23.793.710.000"
"01 de jun. de 2001","1.255,82","1.286,62","1.203,03","1.224,38","1.224,38","24.748.030.000"
"01 de mai. de 2001","1.249,46","1.315,93","1.232,00","1.255,82","1.255,82","24.525.900.000"
"01 de abr. de 2001","1.160,33","1.269,30","1.091,99","1.249,46","1.249,46","25.409.990.000"
"01 de mar. de 2001","1.239,94","1.267,42","1.081,19","1.160,33","1.160,33","27.806.610.000"
"01 de fev. de 2001","1.366,01","1.376,38","1.215,44","1.239,94","1.239,94","21.644.400.000"
"01 de jan. de 2001","1.320,28","1.383,37","1.274,62","1.366,01","1.366,01","27.829.800.000"
"01 de dez. de 2000","1.314,95","1.389,05","1.254,07","1.320,28","1.320,28","23.610.800.000"
"01 de nov. de 2000","1.429,40","1.438,46","1.294,90","1.314,95","1.314,95","20.532.300.000"
"01 de out. de 2000","1.436,52","1.454,82","1.305,79","1.429,40","1.429,40","25.951.400.000"
"01 de set. de 2000","1.517,68","1.530,09","1.419,44","1.436,51","1.436,51","20.838.300.000"
"01 de ago. de 2000","1.430,83","1.525,21","1.425,43","1.517,68","1.517,68","20.363.700.000"
"01 de jul. de 2000","1.454,60","1.517,32","1.413,89","1.430,83","1.430,83","19.089.100.000"
"01 de jun. de 2000","1.420,60","1.488,93","1.420,60","1.454,60","1.454,60","21.738.300.000"
"01 de mai. de 2000","1.452,43","1.481,51","1.361,09","1.420,60","1.420,60","19.898.300.000"
"01 de abr. de 2000","1.498,58","1.527,19","1.339,40","1.452,43","1.452,43","20.106.460.000"
"01 de mar. de 2000","1.366,42","1.552,87","1.346,62","1.498,58","1.498,58","26.156.200.000"
"01 de fev. de 2000","1.394,46","1.444,55","1.325,07","1.366,42","1.366,42","20.912.000.000"
"01 de jan. de 2000","1.469,25","1.478,00","1.350,14","1.394,46","1.394,46","21.494.400.000"
"01 de dez. de 1999","1.388,91","1.473,10","1.387,38","1.469,25","1.469,25","19.640.690.000"
"01 de nov. de 1999","1.362,93","1.425,31","1.346,41","1.388,91","1.388,91","18.384.820.000"
"01 de out. de 1999","1.282,71","1.373,17","1.233,70","1.362,93","1.362,93","18.832.000.000"
"01 de set. de 1999","1.320,41","1.361,39","1.256,26","1.282,71","1.282,71","16.438.700.000"
"01 de ago. de 1999","1.328,72","1.382,84","1.267,73","1.320,41","1.320,41","15.818.550.000"
"01 de jul. de 1999","1.372,71","1.420,33","1.328,49","1.328,72","1.328,72","15.332.930.000"
"01 de jun. de 1999","1.301,84","1.372,93","1.277,47","1.372,71","1.372,71","16.079.170.000"
"01 de mai. de 1999","1.335,18","1.375,98","1.277,31","1.301,84","1.301,84","15.880.260.000"
"01 de abr. de 1999","1.286,37","1.371,56","1.282,56","1.335,18","1.335,18","18.523.200.000"
"01 de mar. de 1999","1.238,33","1.323,82","1.216,03","1.286,37","1.286,37","18.002.500.000"
"01 de fev. de 1999","1.279,64","1.283,84","1.211,89","1.238,33","1.238,33","14.555.860.000"
"01 de jan. de 1999","1.229,23","1.280,37","1.205,46","1.279,64","1.279,64","16.213.500.000"
"01 de dez. de 1998","1.163,63","1.244,93","1.136,89","1.229,23","1.229,23","15.181.450.000"
"01 de nov. de 1998","1.098,67","1.192,97","1.098,67","1.163,63","1.163,63","13.451.280.000"
"01 de out. de 1998","1.017,01","1.103,78","923,32","1.098,67","1.098,67","18.001.650.000"
"01 de set. de 1998","957,28","1.066,11","939,98","1.017,01","1.017,01","16.714.080.000"
"01 de ago. de 1998","1.120,67","1.121,79","957,28","957,28","957,28","15.071.550.000"
"01 de jul. de 1998","1.133,84","1.190,58","1.114,30","1.120,67","1.120,67","14.194.800.000"
"01 de jun. de 1998","1.090,82","1.145,15","1.074,67","1.133,84","1.133,84","13.551.970.000"
"01 de mai. de 1998","1.111,75","1.130,52","1.074,39","1.090,82","1.090,82","11.477.140.000"
"01 de abr. de 1998","1.101,75","1.132,98","1.076,70","1.111,75","1.111,75","13.656.060.000"
"01 de mar. de 1998","1.049,34","1.113,07","1.030,87","1.101,75","1.101,75","13.719.590.000"
"01 de fev. de 1998","980,28","1.051,66","980,28","1.049,34","1.049,34","11.656.550.000"
"01 de jan. de 1998","970,43","992,65","912,83","980,28","980,28","12.733.830.000"
"01 de dez. de 1997","955,40","986,25","924,92","970,43","970,43","11.958.880.000"
"01 de nov. de 1997","914,62","964,55","900,61","955,40","955,40","10.173.620.000"
"01 de out. de 1997","947,28","983,12","855,27","914,62","914,62","14.017.260.000"
"01 de set. de 1997","899,47","960,59","899,47","947,28","947,28","11.383.000.000"
"01 de ago. de 1997","954,29","964,17","893,34","899,47","899,47","10.606.100.000"
"01 de jul. de 1997","885,14","957,73","884,54","954,31","954,31","11.958.120.000"
"01 de jun. de 1997","848,28","902,09","838,82","885,14","885,14","10.857.950.000"
"01 de mai. de 1997","801,34","851,87","793,21","848,28","848,28","10.106.650.000"
"01 de abr. de 1997","757,12","804,13","733,54","801,34","801,34","10.454.880.000"
"01 de mar. de 1997","790,82","814,90","756,13","757,12","757,12","10.120.760.000"
"01 de fev. de 1997","786,16","817,68","773,43","790,82","790,82","9.715.930.000"
"01 de jan. de 1997","740,74","794,67","729,55","786,16","786,16","11.635.830.000"
"01 de dez. de 1996","757,02","761,75","716,69","740,74","740,74","9.089.170.000"
"01 de nov. de 1996","705,27","762,12","701,30","757,02","757,02","8.763.850.000"
"01 de out. de 1996","687,31","714,10","684,44","705,27","705,27","9.703.670.000"
"01 de set. de 1996","651,99","690,88","643,97","687,33","687,33","8.064.070.000"
"01 de ago. de 1996","639,95","670,68","639,49","651,99","651,99","7.380.320.000"
"01 de jul. de 1996","670,63","675,88","605,88","639,95","639,95","8.849.860.000"
"01 de jun. de 1996","669,12","680,32","658,75","670,63","670,63","7.930.840.000"
"01 de mai. de 1996","654,17","681,10","630,07","669,12","669,12","8.921.140.000"
"01 de abr. de 1996","645,50","656,68","624,14","654,17","654,17","8.875.580.000"
"01 de mar. de 1996","640,43","656,97","627,63","645,50","645,50","8.984.200.000"
"01 de fev. de 1996","636,02","664,23","633,71","640,43","640,43","8.749.960.000"
"01 de jan. de 1996","615,93","636,18","597,29","636,02","636,02","9.188.050.000"
"01 de dez. de 1995","605,37","622,88","605,05","615,93","615,93","7.697.540.000"
"01 de nov. de 1995","581,50","608,69","581,04","605,37","605,37","7.602.150.000"
"01 de out. de 1995","584,41","590,66","571,55","581,50","581,50","8.043.320.000"
"01 de set. de 1995","561,88","587,61","561,01","584,41","584,41","7.052.830.000"
"01 de ago. de 1995","562,06","565,62","553,04","561,88","561,88","7.146.620.000"
"01 de jul. de 1995","544,75","565,40","542,51","562,06","562,06","7.307.960.000"
"01 de jun. de 1995","533,40","551,07","526,00","544,75","544,75","7.555.650.000"
"01 de mai. de 1995","514,76","533,41","513,03","533,40","533,40","7.555.690.000"
"01 de abr. de 1995","500,70","515,29","500,20","514,71","514,71","6.307.030.000"
"01 de mar. de 1995","487,39","508,15","479,70","500,71","500,71","7.792.400.000"
"01 de fev. de 1995","470,42","489,19","469,29","487,39","487,39","6.330.100.000"
"01 de jan. de 1995","459,21","471,36","457,20","470,42","470,42","6.852.060.000"
"01 de dez. de 1994","453,55","462,73","442,88","459,27","459,27","6.351.530.000"
"01 de nov. de 1994","472,26","472,26","444,18","453,69","453,69","6.251.240.000"
"01 de out. de 1994","462,69","474,74","449,27","472,35","472,35","6.344.700.000"
"01 de set. de 1994","475,49","475,49","458,47","462,71","462,71","6.152.870.000"
"01 de ago. de 1994","458,28","477,59","456,08","475,49","475,49","6.398.750.000"
"01 de jul. de 1994","444,27","459,33","443,58","458,26","458,26","4.980.100.000"
"01 de jun. de 1994","456,50","463,23","439,83","444,27","444,27","5.852.670.000"
"01 de mai. de 1994","450,91","457,77","440,78","456,50","456,50","5.675.970.000"
"01 de abr. de 1994","445,66","452,79","435,86","450,91","450,91","5.735.010.000"
"01 de mar. de 1994","467,19","471,09","436,16","445,77","445,77","7.225.010.000"
"01 de fev. de 1994","481,60","482,23","464,26","467,14","467,14","5.853.100.000"
"01 de jan. de 1994","466,51","482,85","464,36","481,61","481,61","6.627.390.000"
"01 de dez. de 1993","461,93","471,29","461,45","466,45","466,45","5.791.210.000"
"01 de nov. de 1993","467,83","469,11","454,36","461,79","461,79","5.876.610.000"
"01 de out. de 1993","458,93","471,10","456,40","467,83","467,83","5.940.460.000"
"01 de set. de 1993","463,55","463,80","449,64","458,93","458,93","5.552.720.000"
"01 de ago. de 1993","448,13","463,56","446,94","463,56","463,56","5.506.200.000"
"01 de jul. de 1993","450,54","451,15","441,40","448,13","448,13","5.308.530.000"
"01 de jun. de 1993","450,23","455,63","442,50","450,53","450,53","5.544.400.000"
"01 de mai. de 1993","440,19","454,55","436,86","450,19","450,19","5.108.640.000"
