"Data","Abertura","Alto","Baixo","Fechamento*","Fechamento ajustado**","Volume"
"01 de abr. de 2022","4.540,32","4.593,45","4.124,28","4.131,93","4.131,93","90.367.840.000"
"01 de mar. de 2022","4.363,14","4.637,30","4.157,87","4.530,41","4.530,41","123.546.260.000"
"01 de fev. de 2022","4.519,57","4.595,31","4.114,65","4.373,94","4.373,94","92.667.710.000"
"01 de jan. de 2022","4.778,14","4.818,62","4.222,62","4.515,55","4.515,55","95.562.890.000"
"01 de dez. de 2021","4.602,82","4.808,93","4.495,12","4.766,18","4.766,18","92.750.180.000"
"01 de nov. de 2021","4.610,62","4.743,83","4.560,00","4.567,00","4.567,00","88.268.840.000"
"01 de out. de 2021","4.317,16","4.608,08","4.278,94","4.605,38","4.605,38","80.253.600.000"
"01 de set. de 2021","4.528,80","4.545,85","4.305,91","4.307,54","4.307,54","85.528.860.000"
"01 de ago. de 2021","4.406,86","4.537,36","4.367,73","4.522,68","4.522,68","80.500.760.000"
"01 de jul. de 2021","4.300,73","4.429,97","4.233,13","4.395,26","4.395,26","84.255.620.000"
"01 de jun. de 2021","4.216,52","4.302,43","4.164,40","4.297,50","4.297,50","102.544.180.000"
"01 de mai. de 2021","4.191,98","4.238,04","4.056,88","4.204,11","4.204,11","88.321.860.000"
"01 de abr. de 2021","3.992,78","4.218,78","3.992,78","4.181,17","4.181,17","83.124.090.000"
"01 de mar. de 2021","3.842,51","3.994,41","3.723,34","3.972,89","3.972,89","122.371.150.000"
"01 de fev. de 2021","3.731,17","3.950,43","3.725,62","3.811,15","3.811,15","99.082.320.000"
"01 de jan. de 2021","3.764,61","3.870,90","3.662,71","3.714,24","3.714,24","106.117.800.000"
"01 de dez. de 2020","3.645,87","3.760,20","3.633,40","3.756,07","3.756,07","96.375.680.000"
"01 de nov. de 2020","3.296,20","3.645,99","3.279,74","3.621,63","3.621,63","101.247.180.000"
"01 de out. de 2020","3.385,87","3.549,85","3.233,94","3.269,96","3.269,96","89.938.980.000"
"01 de set. de 2020","3.507,44","3.588,11","3.209,45","3.363,00","3.363,00","92.310.780.000"
"01 de ago. de 2020","3.288,26","3.514,77","3.284,53","3.500,31","3.500,31","82.466.520.000"
"01 de jul. de 2020","3.105,92","3.279,99","3.101,17","3.271,12","3.271,12","96.928.130.000"
"01 de jun. de 2020","3.038,78","3.233,13","2.965,66","3.100,29","3.100,29","131.458.880.000"
"01 de mai. de 2020","2.869,09","3.068,67","2.766,64","3.044,31","3.044,31","107.135.190.000"
"01 de abr. de 2020","2.498,08","2.954,86","2.447,49","2.912,43","2.912,43","123.608.160.000"
"01 de mar. de 2020","2.974,28","3.136,72","2.191,86","2.584,59","2.584,59","162.185.380.000"
"01 de fev. de 2020","3.235,66","3.393,52","2.855,84","2.954,22","2.954,22","84.436.590.000"
"01 de jan. de 2020","3.244,67","3.337,77","3.214,64","3.225,52","3.225,52","77.287.980.000"
"01 de dez. de 2019","3.143,85","3.247,93","3.070,33","3.230,78","3.230,78","72.325.540.000"
"01 de nov. de 2019","3.050,72","3.154,26","3.050,72","3.140,98","3.140,98","72.410.620.000"
"01 de out. de 2019","2.983,69","3.050,10","2.855,94","3.037,56","3.037,56","77.720.640.000"
"01 de set. de 2019","2.909,01","3.021,99","2.891,85","2.976,74","2.976,74","74.178.980.000"
"01 de ago. de 2019","2.980,32","3.013,59","2.822,12","2.926,46","2.926,46","80.269.220.000"
"01 de jul. de 2019","2.971,41","3.027,98","2.952,22","2.980,38","2.980,38","70.599.470.000"
"01 de jun. de 2019","2.751,53","2.964,15","2.728,81","2.941,76","2.941,76","71.250.630.000"
"01 de mai. de 2019","2.952,33","2.954,13","2.750,52","2.752,06","2.752,06","77.250.740.000"
"01 de abr. de 2019","2.848,63","2.949,52","2.848,63","2.945,83","2.945,83","70.090.370.000"
"01 de mar. de 2019","2.798,22","2.860,31","2.722,27","2.834,40","2.834,40","79.159.660.000"
