Date,Open,High,Low,Close,Adj Close,Volume
1995-01-01,4353.899902,4397.600098,3108.600098,3885.000000,3885.000000,0
1995-02-01,3885.000000,4067.199951,2762.000000,3270.899902,3270.899902,0
1995-03-01,3270.899902,3494.899902,2110.000000,2979.000000,2979.000000,0
1995-04-01,2979.000000,3923.600098,2867.100098,3813.699951,3813.699951,0
1995-05-01,3813.699951,4185.100098,3688.899902,3720.600098,3720.600098,0
1995-06-01,3720.600098,4067.300049,3516.000000,3603.399902,3603.399902,0
1995-07-01,3603.399902,4079.500000,3574.399902,3877.500000,3877.500000,0
1995-08-01,3877.500000,4554.600098,3817.699951,4310.500000,4310.500000,0
1995-09-01,4310.500000,4885.100098,4310.500000,4670.100098,4670.100098,0
1995-10-01,4670.100098,4684.899902,3922.699951,4128.399902,4128.399902,0
1995-11-01,4128.399902,4390.700195,3713.699951,4378.600098,4378.600098,0
1995-12-01,4378.600098,4397.299805,3957.600098,4299.000000,4299.000000,0
1996-01-01,4299.000000,5171.600098,4299.000000,5151.500000,5151.500000,0
1996-02-01,5151.500000,5410.899902,4939.600098,4957.700195,4957.700195,0
1996-03-01,5120.799805,5224.399902,4595.600098,4954.899902,4954.899902,0
1996-04-01,5022.399902,5175.200195,4831.200195,5164.100098,5164.100098,0
1996-05-01,5191.500000,5764.200195,5097.299805,5728.000000,5728.000000,0
1996-06-01,5725.799805,6278.899902,5397.799805,6043.899902,6043.899902,0
1996-07-01,6043.899902,6713.200195,5879.399902,6123.299805,6123.299805,0
1996-08-01,6308.299805,6400.799805,6016.000000,6259.399902,6259.399902,0
1996-09-01,6269.100098,6631.500000,6132.299805,6446.899902,6446.899902,0
1996-10-01,6446.899902,6851.500000,6316.899902,6533.200195,6533.200195,0
1996-11-01,6533.200195,6757.799805,6478.899902,6666.100098,6666.100098,0
1996-12-01,6739.299805,7052.500000,6445.100098,7039.899902,7039.899902,0
1997-01-01,7040.000000,7991.799805,6952.500000,7964.700195,7964.700195,0
1997-02-01,8104.100098,9181.099609,7963.299805,8828.700195,8828.700195,0
1997-03-01,8982.000000,9568.000000,8707.000000,9044.000000,9044.000000,0
1997-04-01,9140.000000,10000.000000,8982.000000,9982.000000,9982.000000,0
1997-05-01,10116.000000,11458.000000,9982.000000,11345.000000,11345.000000,0
1997-06-01,11398.000000,13223.000000,10988.000000,12568.000000,12568.000000,0
1997-07-01,13013.000000,14005.000000,10765.000000,12872.000000,12872.000000,0
1997-08-01,12846.000000,12846.000000,10518.000000,10609.000000,10609.000000,0
1997-09-01,10643.000000,12020.000000,9921.000000,11797.000000,11797.000000,0
1997-10-01,11799.000000,13037.000000,8456.000000,8986.000000,8986.000000,0
1997-11-01,8986.000000,10334.000000,7522.000000,9395.000000,9395.000000,0
