,Monthly Nominal GDP Index,Monthly Real GDP Index,,
2005 - Apr,12859.306,15896.691,,
2005 - May,12881.897,15863.329,,
2005 - Jun,13026.765,16010.341,,
2005 - Jul,13096.053,16037.209,,
2005 - Aug,13153.237,16078.094,,
2005 - Sep,13178.636,16029.517,,
2005 - Oct,13235.122,16064.167,,
2005 - Nov,13300.280,16112.888,,
2005 - Dec,13437.211,16235.166,,
2006 - Jan,13517.445,16315.466,,
2006 - Feb,13569.265,16307.716,,
2006 - Mar,13710.770,16440.292,,
2006 - Apr,13694.953,16369.966,,
2006 - May,13782.626,16416.931,,
2006 - Jun,13782.692,16403.641,,
2006 - Jul,13791.165,16365.775,,
2006 - Aug,13885.300,16421.564,,
2006 - Sep,13934.099,16477.070,,
2006 - Oct,13967.039,16489.367,,
2006 - Nov,14059.552,16600.852,,
2006 - Dec,14092.089,16597.595,,
2007 - Jan,14134.074,16578.484,,
2007 - Feb,14286.519,16680.770,,
2007 - Mar,14226.359,16577.910,,
2007 - Apr,14362.630,16711.322,,
2007 - May,14401.011,16701.740,,
2007 - Jun,14442.605,16728.756,,
2007 - Jul,14422.450,16669.371,,
2007 - Aug,14601.559,16867.803,,
2007 - Sep,14668.342,16893.388,,
2007 - Oct,14663.960,16878.251,,
2007 - Nov,14715.624,16898.622,,
2007 - Dec,14765.590,16970.450,,
2008 - Jan,14801.296,16990.507,,
2008 - Feb,14627.528,16753.931,,
2008 - Mar,14690.790,16786.541,,
2008 - Apr,14757.395,16846.195,,
2008 - May,14802.366,16891.108,,
2008 - Jun,15037.342,17094.031,,
2008 - Jul,14972.350,16971.805,,
2008 - Aug,14917.178,16891.625,,
2008 - Sep,14807.469,16701.046,,
2008 - Oct,14694.539,16566.761,,
2008 - Nov,14700.088,16587.097,,
2008 - Dec,14430.000,16303.394,,
2009 - Jan,14481.070,16350.242,,
2009 - Feb,14442.852,16289.997,,
2009 - Mar,14368.784,16255.400,,
2009 - Apr,14360.300,16253.971,,
2009 - May,14377.754,16278.613,,
2009 - Jun,14405.654,16275.547,,
2009 - Jul,14376.252,16261.724,,
2009 - Aug,14480.508,16349.090,,
2009 - Sep,14489.886,16368.845,,
2009 - Oct,14693.460,16570.260,,
2009 - Nov,14665.257,16512.611,,
2009 - Dec,14595.030,16426.206,,
2010 - Jan,14707.261,16526.062,,
2010 - Feb,14735.248,16560.973,,
2010 - Mar,14851.321,16661.618,,
2010 - Apr,14946.065,16725.261,,
2010 - May,14956.505,16714.289,,
2010 - Jun,15038.009,16790.671,,
2010 - Jul,15111.840,16866.323,,
2010 - Aug,15108.563,16835.082,,
2010 - Sep,15204.418,16916.032,,
2010 - Oct,15287.422,16965.414,,
2010 - Nov,15264.359,16904.016,,
2010 - Dec,15376.641,17013.825,,
2011 - Jan,15257.731,16865.351,,
2011 - Feb,15282.896,16841.059,,
2011 - Mar,15513.717,17056.052,,
2011 - Apr,15584.445,17097.452,,
2011 - May,15567.133,17037.904,,
2011 - Jun,15521.039,16970.702,,
2011 - Jul,15615.923,17025.576,,
2011 - Aug,15716.156,17097.184,,
2011 - Sep,15610.961,16971.902,,
2011 - Oct,15858.167,17256.908,,
